Date,Number of cases,,,
23-Nov-14,24,,,
24-Nov-14,21,,,
25-Nov-14,25,,,
26-Nov-14,5,,,
27-Nov-14,10,,,
28-Nov-14,6,,,
29-Nov-14,4,,,
30-Nov-14,21,,,
1-Dec-14,27,,,
2-Dec-14,27,,,
3-Dec-14,26,,,
4-Dec-14,26,,,
5-Dec-14,7,,,
6-Dec-14,10,,,
7-Dec-14,30,,,
8-Dec-14,26,,,
9-Dec-14,31,,,
10-Dec-14,32,,,
11-Dec-14,30,,,
12-Dec-14,7,,,
13-Dec-14,4,,,
14-Dec-14,25,,,
15-Dec-14,26,,,
16-Dec-14,29,,,
17-Dec-14,35,,,
18-Dec-14,29,,,
19-Dec-14,9,,,
20-Dec-14,4,,,
21-Dec-14,33,,,
22-Dec-14,34,,,
23-Dec-14,3,,,
24-Dec-14,5,,,
25-Dec-14,13,,,
26-Dec-14,3,,,
27-Dec-14,5,,,
28-Dec-14,19,,,
29-Dec-14,18,,,
30-Dec-14,14,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
